BVAExport,Image,Gel_1_Run_1_Pig_1807_45034 CY3.gel,,Gel_1_Run_1_Pig_1807_45034 CY5.gel,,Gel_1_Run_2_Pig_1807_45046 CY3.gel,,Gel_1_Run_2_Pig_1807_45046 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_3_Run_1_Pig_1209_45036 CY3.gel,,Gel_3_Run_1_Pig_1209_45036 CY5.gel,,Gel_3_Run_2_Pig_1209_45048 CY3.gel,,Gel_3_Run_2_Pig_1209_45048 CY5.gel,,Gel_4_Run_1_Pig_1906_45037 CY3.gel,,Gel_4_Run_1_Pig_1906_45037 CY5.gel,,Gel_4_Run_2_Pig_1906_45049 CY3.gel,,Gel_4_Run_2_Pig_1906_45049 CY5.gel,,Gel_5_Run_1_Pig_3908_45038 CY3.gel,,Gel_5_Run_1_Pig_3908_45038 CY5.gel,,Gel_5_Run_2_Pig_3908_45050 CY3.gel,,Gel_5_Run_2_Pig_3908_45050 CY5.gel,,Gel_6_Run_1_Pig_3106_45039 CY3.gel,,Gel_6_Run_1_Pig_3106_45039 CY5.gel,,Gel_6_Run_2_Pig_3106_45051 CY3.gel,,Gel_6_Run_2_Pig_3106_45051 CY5.gel,,Gel_7_Run_1_Pig_2107_45040 CY3.gel,,Gel_7_Run_1_Pig_2107_45040 CY5.gel,,Gel_7_Run_2_Pig_2107_45052 CY3.gel,,Gel_7_Run_2_Pig_2107_45052 CY5.gel,,Gel_8_Run_1_Pig_2712_45041 CY3.gel,,Gel_8_Run_1_Pig_2712_45041 CY5.gel,,Gel_8_Run_2_Pig_2712_44495 CY3.gel,,Gel_8_Run_2_Pig_2712_44495 CY5.gel,
,Group,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,
Master No.,ProteinID,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume
437,,-1.090638,325280,4.131941,8044123,1.620071,449116,4.997235,3595149,7.596245,13939535,-1.448386,56463,7.527282,16154381,1.980192,194538,5.396683,336103,-1.580311,501538,,,,,1.50484,1815967,2.855292,136873,1.404834,1819789,3.452874,152280,3.34973,512068,2.901129,3461275,-1.013306,26161,4.003645,470273,1.854988,1924448,2.295447,96290,,,,,,,,,1.032901,57106,5.534448,2649014,1.439964,1587855,1.944879,100406,1.359053,1442561,1.722538,92890
436,,2.061698,324217,2.574157,2221427,-1.319109,411358,6.411331,9028413,11.549165,11804427,-1.004399,45351,12.096584,17025647,-3.015664,21365,2.658492,218048,1.38389,1444506,,,,,2.733978,6083590,1.237178,109357,2.651459,5874500,1.295893,97751,1.777761,500893,4.897962,10770554,2.522722,623113,3.444786,3770155,3.740043,7759775,-1.052481,79709,1.900941,2191605,1.846296,112119,,,,,1.707595,50393,2.643011,675260,2.657685,4909258,-1.246895,69357,2.551913,4594922,-1.47063,62203
435,,,,,,-1.462337,103510,9.624028,3780501,6.586387,2466002,2.001651,33399,11.549165,11804427,-1.031698,45351,2.083477,35162,1.761132,378249,,,,,3.435622,1463196,1.235613,20904,3.649729,1790637,1.321802,22079,1.713859,98003,4.955722,2211680,1.403211,139366,6.259071,2754503,3.029611,1243591,1.003652,16658,3.791718,1653316,1.053991,24207,,,,,,,,,2.17763,832838,-1.121752,15962,2.512662,950364,-1.142233,16823
430,,,,,,-4.125661,56943,-1.870402,325958,1.676077,1316515,-1.749028,20014,1.676077,1316515,-1.796565,20014,1.446845,69867,-1.249263,491923,,,,,1.388182,1273859,-1.887349,19314,1.500661,1278746,-1.599389,18139,-1.363318,85050,-1.380633,655457,,,,,1.496625,1221484,-1.569223,21030,1.963227,1713082,-1.742475,26377,-6.329049,7810,1.130191,292274,-7.120932,4584,-1.165485,242472,2.395055,1802822,-1.417055,24869,,,,
429,,,,,,-4.308521,33492,1.565449,586234,,,,,2.930993,1953493,-2.805516,10875,-1.313976,26454,1.29379,572326,-2.086812,22149,1.504007,235489,2.381557,1696449,-2.379639,11891,2.24769,1523818,-1.933928,11935,,,,,-3.280195,26896,-1.115226,350529,1.589637,1311642,-2.43065,13726,1.666802,814235,-3.824975,6727,-1.114508,292416,6.979366,11900056,,,,,1.882512,1944724,-1.357147,35637,2.079988,1603226,-1.330595,29430
428,,,,,,,,,,1.439459,314860,2.324981,22664,1.439459,314860,2.263462,22664,1.208324,38027,-1.683685,237875,,,,,3.160678,1957731,-1.372125,17932,5.240102,1300433,-1.647655,5128,2.876701,192314,1.818972,949059,2.149272,76183,4.38356,688483,2.402043,1363749,2.893275,66419,3.614619,1344020,1.93626,37922,-1.5992,43462,7.331435,2665940,,,,,2.159193,841422,2.62957,47975,2.362458,608938,2.294815,30051
426,,,,,,-15.332577,7592,1.209279,365309,2.862648,262572,-1.095899,3730,2.994433,1497022,-3.892075,5880,-2.644547,14300,1.600731,770383,,,,,2.742331,1596850,-6.053643,3821,2.982064,1695268,-5.716109,3386,,,,,,,,,,,,,1.823422,1016904,-6.81079,4313,,,,,,,,,-5.81901,68870,-9.716385,1931,,,,
424,,3.368944,5930735,-13.039483,740868,2.828701,6776415,-11.361858,547175,-5.991261,1571093,5.3363,2238511,-5.991261,1571093,5.195103,2238511,-4.556851,93344,-11.171002,484574,-15.657514,92337,-28.536049,171628,-4.16937,2443345,-2.79193,144944,-8.346882,1028742,-2.649019,110360,8.769185,12316044,-10.033637,1092458,6.23224,11758084,-17.57633,475624,-3.923577,2892725,5.463086,2507127,-6.923532,1289689,4.469062,2101906,1.322257,1842253,-9.005552,809416,1.824792,1629466,-10.756369,718709,-6.978971,1428125,5.697234,2658456,-11.977912,654066,5.329738,2121343
420,,,,,,1.752681,537649,-1.706477,466507,1.448485,5763079,3.984473,706497,1.448485,5763079,3.879045,706497,,,,,-1.424496,213215,1.383461,1423408,,,,,1.992232,5250179,-5.427188,16532,,,,,,,,,,,,,-1.255757,2598669,3.832,658668,,,,,,,,,-2.519905,587939,5.322248,369164,-1.799023,755179,3.689985,254691
419,,,,,,1.13836,418799,-1.275859,748318,1.980036,7065352,2.666089,423969,1.980036,7065352,2.595545,423969,-2.790514,76824,-1.192252,2288306,1.240185,149618,-1.060374,385409,1.394212,9511811,-2.868004,94494,2.639222,8660593,-6.602939,16920,,,,,3.697751,3792682,-3.298627,1377765,1.28958,7047283,2.794988,617593,1.581095,6335239,2.051263,432923,,,,,,,,,1.082713,2856422,2.288093,282612,1.14494,2406416,1.783226,190413
